name,family,kind,formula,source_variables,target_derived,min_lag,availability_category,release_delay_quarters,leakage_risk,safe_at_h1,safe_at_h2,safe_at_h4,missing_value_rule,retained_after_audit,exclusion_reason,role,configuration_membership,A1_membership,A2_membership,A3_membership,A4_membership,B1_candidate_membership,B2_candidate_membership,B3_candidate_membership,B4_candidate_membership
CO2e_lag2,target_lag,engineered,CO2e_{t-2},CO2e,True,2,historical_target_derived,0,none,True,True,True,drop_leading_nan,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
CO2e_lag3,target_lag,engineered,CO2e_{t-3},CO2e,True,3,historical_target_derived,0,none,True,True,True,drop_leading_nan,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
CO2e_lag4,target_lag,engineered,CO2e_{t-4},CO2e,True,4,historical_target_derived,0,none,True,True,True,drop_leading_nan,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
CO2e_dlog,target_growth,engineered,log(CO2e_{t-1}) - log(CO2e_{t-2})  [shifted by 1 to exclude CO2e_t],CO2e,True,1,historical_target_derived,0,none,True,True,True,drop_leading_nan,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
GDP_dlog,exogenous_growth,engineered,log(GDP_t) - log(GDP_{t-1}),GDP,False,0,exogenous_with_publication_delay,1,low,True,True,True,drop_leading_nan,True,,both,"A2, A4",False,True,False,True,False,True,False,True
CO2e_per_Population,target_intensity,engineered,CO2e_{t-1} / Population_{t-1},"CO2e, Population",True,1,historical_target_derived,0,none,True,True,True,drop_leading_nan,True,,explanatory,"A2, A4",False,True,False,True,False,True,False,True
HDD_proxy,weather,engineered,"max(0, 18.0 - Air_Temp_t)",Air_Temp,False,0,exogenous_and_observable,0,none,True,True,True,none_observed,True,,both,"A2, A4",False,True,False,True,False,True,False,True
CDD_proxy,weather,engineered,"max(0, Air_Temp_t - 18.0)",Air_Temp,False,0,exogenous_and_observable,0,none,True,True,True,none_observed,True,,both,"A2, A4",False,True,False,True,False,True,False,True
Q2,seasonal,engineered,1{quarter(t) = 2},date,False,0,deterministic_calendar,0,none,True,True,True,none_observed,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
Q3,seasonal,engineered,1{quarter(t) = 3},date,False,0,deterministic_calendar,0,none,True,True,True,none_observed,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
Q4,seasonal,engineered,1{quarter(t) = 4},date,False,0,deterministic_calendar,0,none,True,True,True,none_observed,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
COVID,disruption,engineered,1{2020Q1 <= t <= 2021Q4},date,False,0,deterministic_calendar,0,none,True,True,True,none_observed,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
EnergyCrisis,disruption,engineered,1{2022Q1 <= t <= 2023Q4},date,False,0,deterministic_calendar,0,none,True,True,True,none_observed,True,,forecasting,"A2, A4",False,True,False,True,False,True,False,True
Grid_CI_mean,grid_exogenous,raw,mean(CI_t for t in quarter q),"intensity_actual, intensity_forecast",False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_CI_p90,grid_exogenous,raw,P90(CI_t for t in quarter q),"intensity_actual, intensity_forecast",False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_CI_std,grid_exogenous,raw,std(CI_t for t in quarter q),"intensity_actual, intensity_forecast",False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_CI_high_share,grid_exogenous,raw,"mean(1{index_t in {high, very high}})",intensity_index,False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_CI_low_share,grid_exogenous,raw,"mean(1{index_t in {very low, low}})",intensity_index,False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_renewable_share,grid_exogenous,raw,mean(gen_biomass_t + gen_hydro_t + gen_solar_t + gen_wind_t),"gen_biomass, gen_hydro, gen_solar, gen_wind",False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_low_carbon_share,grid_exogenous,raw,mean(gen_biomass_t + gen_hydro_t + gen_solar_t + gen_wind_t + gen_nuclear_t),"gen_biomass, gen_hydro, gen_solar, gen_wind, gen_nuclear",False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_fossil_share,grid_exogenous,raw,mean(gen_gas_t + gen_coal_t),"gen_gas, gen_coal",False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_gas_share,grid_exogenous,raw,mean(gen_gas_t),gen_gas,False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
Grid_wind_share,grid_exogenous,raw,mean(gen_wind_t),gen_wind,False,0,exogenous_and_observable,0,none,True,True,True,quarter_dropped_if_incomplete,True,,both,"A3, A4",False,False,True,True,False,False,True,True
OWID_RenewableShare_L1Y,owid_exogenous,raw,OWID renewable-electricity-share_{y-1} for every quarter in year y,OWID_share_electricity_renewables,False,4,exogenous_with_publication_delay,4,none,True,True,True,nan_before_owid_series_start,True,,both,"A3, A4",False,False,True,True,False,False,True,True
OWID_LowCarbonShare_L1Y,owid_exogenous,raw,OWID low-carbon-electricity-share_{y-1} for every quarter in year y,OWID_share_electricity_low_carbon,False,4,exogenous_with_publication_delay,4,none,True,True,True,nan_before_owid_series_start,True,,both,"A3, A4",False,False,True,True,False,False,True,True
